record_id,chain,location_text,city,state,latitude,longitude,article_title,article_url,source_domain,source_type,published_utc,discovered_utc,confidence,evidence_snippet,query
8f94b86cbb762a58fd,Walgreens,,,,,,"Walgreens to close Chatham store, citing theft and violence",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd707425465cb1763b494424766a&url=https%3a%2f%2fchicago.suntimes.com%2fmoney%2f2026%2f05%2f04%2fwalgreens-close-chatham-store-theft-violence&c=9786869387699307050&mkt=en-us,www.bing.com,bing_rss,2026-05-04T16:37:00+00:00,2026-06-16T21:17:54+00:00,0.90,"Walgreens to close Chatham store, citing theft and violence The Deerfield-based company has closed several South and West side locations over the last year, contributing to a pharmacy desert in the area.",Walgreens store closure location
7f9dfee3f2161e434a,Walgreens,,,,,,Walgreens closing Chatham store as officials warn of pharmacy deserts,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd707425465cb1763b494424766a&url=https%3a%2f%2fwww.msn.com%2fen-us%2fnews%2fus%2fwalgreens-closing-chatham-as-officials-warn-of-pharmacy-deserts%2far-AA24PoKJ&c=11146585358043657096&mkt=en-us,www.bing.com,bing_rss,2026-06-04T15:28:00+00:00,2026-06-16T21:17:54+00:00,0.37,"Walgreens closing Chatham store as officials warn of pharmacy deserts Walgreens is set to close in Chicago's Chatham neighborhood on Thursday, and there's growing concern about where families will get their medications.",Walgreens store closure location
7f596a7b521612ca31,Walgreens,,,,,,"Walgreens to close Chicago store after losing over $1M due to rampant theft, falling sales",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd707425465cb1763b494424766a&url=https%3a%2f%2fwww.msn.com%2fen-us%2fmoney%2fcompanies%2fwalgreens-to-close-chicago-store-after-losing-over-1m-due-to-rampant-theft-falling-sales%2far-AA22WnEv&c=17942911988166189995&mkt=en-us,www.bing.com,bing_rss,2026-05-11T11:25:00+00:00,2026-06-16T21:17:54+00:00,0.37,"Walgreens to close Chicago store after losing over $1M due to rampant theft, falling sales Walgreens announced plans to close a Chicago South Side store next month, citing elevated theft levels and declining prescription sales as key factors.",Walgreens store closure location
35417a8b81dc19bcb3,Walgreens,,,,,,Local pharmacy chain steps in as Midtown Walgreens prepares to close,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd707425465cb1763b494424766a&url=https%3a%2f%2fwww.msn.com%2fen-us%2fnews%2fus%2flocal-pharmacy-chain-steps-in-as-midtown-walgreens-prepares-to-close%2far-AA25dpGI&c=4811352347859923765&mkt=en-us,www.bing.com,bing_rss,2026-06-09T10:54:00+00:00,2026-06-16T21:17:54+00:00,0.37,"Local pharmacy chain steps in as Midtown Walgreens prepares to close With the Midtown Walgreens at 27th Street and North Avenue set to close on June 23, Hayat Pharmacy is encouraging residents to transfer prescriptions to the local chain.",Walgreens store closure location
c9ee34e8c5b9eec300,Walgreens,,,,,,Walgreens to close St. Louis County store,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd707425465cb1763b494424766a&url=https%3a%2f%2fwww.bizjournals.com%2fstlouis%2fnews%2f2026%2f06%2f11%2fst-louis-county-walgreens-store-to-close.html&c=383589223251537787&mkt=en-us,www.bing.com,bing_rss,2026-06-11T15:35:00+00:00,2026-06-16T21:17:54+00:00,0.37,Walgreens to close St.,Walgreens store closure location
6b56ffea1e06a566f2,Walgreens,,,,,,Walgreens pharmacy on Cottage Grove in Chatham set to close Thursday,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd707425465cb1763b494424766a&url=https%3a%2f%2fwww.msn.com%2fen-us%2fnews%2fus%2fwalgreens-pharmacy-on-cottage-grove-in-chatham-set-to-close-thursday%2far-AA24Wdjx&c=10363544050265138416&mkt=en-us,www.bing.com,bing_rss,2026-06-04T19:38:00+00:00,2026-06-16T21:17:54+00:00,0.37,Walgreens pharmacy on Cottage Grove in Chatham set to close Thursday The Walgreens at 86th Street and Cottage Grove Avenue in Chatham is set to close Thursday.,Walgreens store closure location
ebc9fa60b9a38b91b3,Walgreens,,,,,,Map Shows Where Walgreens Is Closing Locations,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd77b1c04f28b29c2e556f7fa36b&url=https%3a%2f%2fwww.newsweek.com%2fmap-walgreens-pharmacy-closures-2111781&c=10891888385040947924&mkt=en-us,www.bing.com,bing_rss,2025-08-11T08:05:00+00:00,2026-06-16T21:17:54+00:00,0.90,"News Reporter Walgreens is pressing on with its ""Footprint Optimization Program"" and shuttering hundreds of locations in an effort to streamline operations and prioritize its core retail pharmacy business.",Walgreens closing stores
3f05546f3810822546,Walgreens,,,,,,Walgreens closing numerous stores amid 'challenging' retail environment,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd77b1c04f28b29c2e556f7fa36b&url=https%3a%2f%2fwww.wptv.com%2fbusiness%2fcompany-news%2fwalgreens-closing-numerous-stores-amid-challenging-retail-environment&c=6863907681722574937&mkt=en-us,www.bing.com,bing_rss,2024-06-26T22:44:00+00:00,2026-06-16T21:17:54+00:00,0.49,"Walgreens closing numerous stores amid 'challenging' retail environment Walgreens, one of America's largest pharmacy chains, announced early Thursday plans to close numerous stores across the U.S.",Walgreens closing stores
90bd7efb4ebb4a6e65,Walgreens,,,,,,Walgreens closing Chatham store on Thursday,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd77b1c04f28b29c2e556f7fa36b&url=https%3a%2f%2fwww.msn.com%2fen-us%2flifestyle%2fother%2fwalgreens-closing-chatham-store-on-thursday%2far-AA24PoKJ&c=16509589848633609248&mkt=en-us,www.bing.com,bing_rss,2026-06-04T03:52:21+00:00,2026-06-16T21:17:54+00:00,0.37,"Walgreens closing Chatham store on Thursday Walgreens is set to close in Chicago's Chatham neighborhood on Thursday, and there's growing concern about where families will get their medications.",Walgreens closing stores
63e716e72e2f619092,Walgreens,,,,,,"Walgreens to close Chicago store after losing over $1M due to rampant theft, falling sales",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6a31bd77b1c04f28b29c2e556f7fa36b&url=https%3a%2f%2fwww.msn.com%2fen-us%2fmoney%2fcompanies%2fwalgreens-to-close-chicago-store-after-losing-over-1m-due-to-rampant-theft-falling-sales%2far-AA22WnEv&c=17942911988166189995&mkt=en-us,www.bing.com,bing_rss,2026-05-11T11:25:00+00:00,2026-06-16T21:17:54+00:00,0.37,"Walgreens to close Chicago store after losing over $1M due to rampant theft, falling sales Walgreens announced plans to close a Chicago South Side store next month, citing elevated theft levels and declining prescription sales as key factors.",Walgreens closing stores
